Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Athletic Footwear,$29.00 ,70,"$2,030 ",$934 ,46%,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Street Footwear,$18.00 ,65,"$1,170 ",$480 ,41%,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Athletic Footwear,$23.00 ,29,$667 ,$300 ,45%,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Men's Apparel,$38.00 ,45,"$1,710 ","$1,060 ",62%,Online
West Gear,1185732,1/3/21,Midwest,Iowa,Des Moines,Women's Apparel,$28.00 ,73,"$2,044 ","$1,124 ",55%,Online
West Gear,1128299,1/3/21,West,California,San Francisco,Women's Athletic Footwear,$42.00 ,228,"$9,576 ","$4,022 ",42%,Outlet
West Gear,1128299,1/4/21,West,California,San Francisco,Men's Apparel,$65.00 ,550,"$357,500 ","$196,625 ",55%,Outlet
Kohl's,1189833,1/4/21,Midwest,Montana,Billings,Men's Athletic Footwear,$45.00 ,425,"$191,250 ","$57,375 ",30%,Outlet
West Gear,1128299,1/4/21,West,California,San Francisco,Men's Apparel,$60.00 ,154,"$9,240 ","$6,098 ",66%,Online
Kohl's,1189833,1/4/21,Midwest,Montana,Billings,Men's Athletic Footwear,$42.00 ,123,"$5,166 ","$2,325 ",45%,Online
West Gear,1128299,1/4/21,West,California,San Francisco,Men's Apparel,$49.00 ,182,"$8,918 ","$5,083 ",57%,Outlet
West Gear,1128299,1/5/21,West,California,San Francisco,Women's Apparel,$80.00 ,725,"$580,000 ","$116,000 ",20%,Outlet
Kohl's,1189833,1/5/21,Midwest,Montana,Billings,Women's Street Footwear,$45.00 ,450,"$202,500 ","$91,125 ",45%,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Street Footwear,$20.00 ,675,"$135,000 ","$40,500 ",30%,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Athletic Footwear,$30.00 ,675,"$202,500 ","$60,750 ",30%,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Street Footwear,$30.00 ,475,"$142,500 ","$42,750 ",30%,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Athletic Footwear,$35.00 ,475,"$166,250 ","$66,500 ",40%,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Apparel,$40.00 ,325,"$130,000 ","$32,500 ",25%,Online
West Gear,1197831,1/5/21,South,Louisiana,New Orleans,Women's Apparel,$35.00 ,475,"$166,250 ","$74,813 ",45%,Online
West Gear,1128299,1/5/21,West,California,San Francisco,Women's Apparel,$72.00 ,189,"$13,608 ","$4,491 ",33%,Online
Kohl's,1189833,1/5/21,Midwest,Montana,Billings,Women's Street Footwear,$43.00 ,122,"$5,246 ","$2,990 ",57%,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Street Footwear,$19.00 ,182,"$3,458 ","$1,487 ",43%,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Athletic Footwear,$28.00 ,196,"$5,488 ","$2,470 ",45%,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Street Footwear,$28.00 ,119,"$3,332 ","$1,333 ",40%,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Athletic Footwear,$33.00 ,133,"$4,389 ","$2,326 ",53%,Online
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Apparel,$36.00 ,85,"$3,060 ","$1,132 ",37%,Online
West Gear,1197831,1/5/21,South,Louisiana,New Orleans,Women's Apparel,$34.00 ,143,"$4,862 ","$2,917 ",60%,Online
West Gear,1128299,1/5/21,West,California,San Francisco,Women's Apparel,$58.00 ,225,"$13,050 ","$3,002 ",23%,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Street Footwear,$14.00 ,223,"$3,122 ","$1,061 ",34%,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Athletic Footwear,$20.00 ,209,"$4,180 ","$1,505 ",36%,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Street Footwear,$21.00 ,162,"$3,402 ","$1,259 ",37%,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Women's Athletic Footwear,$26.00 ,166,"$4,316 ","$1,813 ",42%,Outlet
Foot Locker,1197831,1/5/21,South,Louisiana,New Orleans,Men's Apparel,$28.00 ,111,"$3,108 ",$870 ,28%,Outlet
West Gear,1197831,1/5/21,South,Louisiana,New Orleans,Women's Apparel,$23.00 ,147,"$3,381 ","$1,691 ",50%,Outlet
West Gear,1128299,1/6/21,West,California,San Francisco,Men's Street Footwear,$60.00 ,975,"$585,000 ","$234,000 ",40%,Outlet
Kohl's,1189833,1/6/21,Midwest,Montana,Billings,Women's Athletic Footwear,$45.00 ,300,"$135,000 ","$54,000 ",40%,Outlet
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Street Footwear,$35.00 ,925,"$323,750 ","$129,500 ",40%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Athletic Footwear,$35.00 ,725,"$253,750 ","$88,813 ",35%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Street Footwear,$25.00 ,725,"$181,250 ","$72,500 ",40%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Athletic Footwear,$30.00 ,575,"$172,500 ","$69,000 ",40%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Apparel,$45.00 ,625,"$281,250 ","$98,438 ",35%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Apparel,$35.00 ,725,"$253,750 ","$126,875 ",50%,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Street Footwear,$30.00 ,450,"$135,000 ","$40,500 ",30%,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$30.00 ,250,"$75,000 ","$26,250 ",35%,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Street Footwear,$20.00 ,250,"$50,000 ","$15,000 ",30%,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Athletic Footwear,$25.00 ,100,"$25,000 ","$7,500 ",30%,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Apparel,$40.00 ,150,"$60,000 ","$30,000 ",50%,In-store
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Apparel,$30.00 ,250,"$75,000 ","$30,000 ",40%,In-store
West Gear,1128299,1/6/21,West,California,San Francisco,Men's Street Footwear,$56.00 ,273,"$15,288 ","$7,644 ",50%,Online
Kohl's,1189833,1/6/21,Midwest,Montana,Billings,Women's Athletic Footwear,$44.00 ,81,"$3,564 ","$1,960 ",55%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Street Footwear,$33.00 ,231,"$7,623 ","$3,812 ",50%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Athletic Footwear,$34.00 ,181,"$6,154 ","$3,077 ",50%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Street Footwear,$24.00 ,189,"$4,536 ","$2,449 ",54%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Athletic Footwear,$29.00 ,173,"$5,017 ","$2,759 ",55%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Men's Apparel,$42.00 ,156,"$6,552 ","$3,014 ",46%,Online
Sports Direct,1185732,1/6/21,Southeast,South Carolina,Charleston,Women's Apparel,$34.00 ,196,"$6,664 ","$4,265 ",64%,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Street Footwear,$27.00 ,113,"$3,051 ","$1,373 ",45%,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$29.00 ,70,"$2,030 ",$934 ,46%,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Street Footwear,$19.00 ,68,"$1,292 ",$581 ,45%,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Athletic Footwear,$24.00 ,26,$624 ,$281 ,45%,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Men's Apparel,$38.00 ,42,"$1,596 ","$1,005 ",63%,Online
Foot Locker,1185732,1/6/21,Midwest,North Dakota,Fargo,Women's Apparel,$28.00 ,75,"$2,100 ","$1,092 ",52%,Online
West Gear,1128299,1/6/21,West,California,San Francisco,Men's Street Footwear,$41.00 ,341,"$13,981 ","$6,012 ",43%,Outlet
West Gear,1128299,1/7/21,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,825,"$536,250 ","$134,063 ",25%,Outlet
Kohl's,1189833,1/7/21,Midwest,Montana,Billings,Men's Apparel,$50.00 ,225,"$112,500 ","$67,500 ",60%,Outlet
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Street Footwear,$40.00 ,500,"$200,000 ","$80,000 ",40%,In-store
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Athletic Footwear,$40.00 ,300,"$120,000 ","$48,000 ",40%,In-store
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Street Footwear,$30.00 ,300,"$90,000 ","$27,000 ",30%,In-store
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Athletic Footwear,$35.00 ,150,"$52,500 ","$15,750 ",30%,In-store
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Apparel,$50.00 ,200,"$100,000 ","$30,000 ",30%,In-store
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Apparel,$40.00 ,300,"$120,000 ","$42,000 ",35%,In-store
West Gear,1128299,1/7/21,West,California,San Francisco,Men's Athletic Footwear,$63.00 ,248,"$15,624 ","$5,781 ",37%,Online
Kohl's,1189833,1/7/21,Midwest,Montana,Billings,Men's Apparel,$48.00 ,59,"$2,832 ","$2,039 ",72%,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Street Footwear,$38.00 ,125,"$4,750 ","$2,423 ",51%,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Athletic Footwear,$37.00 ,87,"$3,219 ","$1,674 ",52%,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Street Footwear,$28.00 ,90,"$2,520 ","$1,008 ",40%,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Athletic Footwear,$33.00 ,42,"$1,386 ",$610 ,44%,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Men's Apparel,$49.00 ,60,"$2,940 ","$1,205 ",41%,Online
Sports Direct,1185732,1/7/21,Northeast,New Jersey,Newark,Women's Apparel,$37.00 ,81,"$2,997 ","$1,499 ",50%,Online
West Gear,1128299,1/7/21,West,California,San Francisco,Men's Athletic Footwear,$50.00 ,256,"$12,800 ","$3,840 ",30%,Outlet
West Gear,1128299,1/8/21,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"$536,250 ","$214,500 ",40%,Outlet
Kohl's,1189833,1/8/21,Midwest,Montana,Billings,Women's Apparel,$45.00 ,425,"$191,250 ","$47,813 ",25%,Outlet
West Gear,1128299,1/8/21,West,California,San Francisco,Women's Street Footwear,$64.00 ,206,"$13,184 ","$7,251 ",55%,Online
Kohl's,1189833,1/8/21,Midwest,Montana,Billings,Women's Apparel,$43.00 ,119,"$5,117 ","$1,893 ",37%,Online
West Gear,1128299,1/8/21,West,California,San Francisco,Women's Street Footwear,$42.00 ,281,"$11,802 ","$5,311 ",45%,Outlet
West Gear,1128299,1/9/21,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,700,"$420,000 ","$147,000 ",35%,Outlet
Kohl's,1189833,1/9/21,Midwest,Montana,Billings,Men's Street Footwear,$35.00 ,575,"$201,250 ","$90,563 ",45%,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Street Footwear,$40.00 ,"1,025","$410,000 ","$184,500 ",45%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$40.00 ,825,"$330,000 ","$115,500 ",35%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Street Footwear,$30.00 ,825,"$247,500 ","$61,875 ",25%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Athletic Footwear,$35.00 ,675,"$236,250 ","$70,875 ",30%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Apparel,$50.00 ,725,"$362,500 ","$126,875 ",35%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Apparel,$40.00 ,825,"$330,000 ","$165,000 ",50%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,$35.00 ,475,"$166,250 ","$58,188 ",35%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,$35.00 ,275,"$96,250 ","$28,875 ",30%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$25.00 ,275,"$68,750 ","$20,625 ",30%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,$30.00 ,125,"$37,500 ","$11,250 ",30%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Apparel,$45.00 ,175,"$78,750 ","$27,563 ",35%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Apparel,$35.00 ,275,"$96,250 ","$38,500 ",40%,Online
West Gear,1128299,1/9/21,West,California,San Francisco,Women's Athletic Footwear,$59.00 ,210,"$12,390 ","$6,071 ",49%,Online
Kohl's,1189833,1/9/21,Midwest,Montana,Billings,Men's Street Footwear,$32.00 ,173,"$5,536 ","$3,045 ",55%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Street Footwear,$39.00 ,256,"$9,984 ","$5,791 ",58%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$37.00 ,206,"$7,622 ","$3,430 ",45%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Street Footwear,$29.00 ,248,"$7,192 ","$2,805 ",39%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Athletic Footwear,$34.00 ,203,"$6,902 ","$3,037 ",44%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Apparel,$47.00 ,189,"$8,883 ","$4,175 ",47%,Online
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Apparel,$37.00 ,239,"$8,843 ","$5,306 ",60%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,$33.00 ,128,"$4,224 ","$1,901 ",45%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,$32.00 ,74,"$2,368 ","$1,042 ",44%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$25.00 ,74,"$1,850 ",$740 ,40%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,$28.00 ,33,$924 ,$416 ,45%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Men's Apparel,$43.00 ,49,"$2,107 ","$1,032 ",49%,Online
Sports Direct,1185732,1/9/21,Midwest,South Dakota,Sioux Falls,Women's Apparel,$33.00 ,72,"$2,376 ","$1,212 ",51%,Online
West Gear,1128299,1/9/21,West,California,San Francisco,Women's Athletic Footwear,$41.00 ,224,"$9,184 ","$3,765 ",41%,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Street Footwear,$26.00 ,349,"$9,074 ","$4,265 ",47%,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$30.00 ,256,"$7,680 ","$3,072 ",40%,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Street Footwear,$24.00 ,264,"$6,336 ","$2,028 ",32%,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Athletic Footwear,$25.00 ,209,"$5,225 ","$1,829 ",35%,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Men's Apparel,$35.00 ,247,"$8,645 ","$3,372 ",39%,Outlet
Foot Locker,1185732,1/9/21,Southeast,Georgia,Atlanta,Women's Apparel,$30.00 ,281,"$8,430 ","$4,468 ",53%,Outlet
West Gear,1128299,1/10/21,West,California,San Francisco,Men's Apparel,$65.00 ,575,"$373,750 ","$205,563 ",55%,Outlet
Kohl's,1189833,1/10/21,Midwest,Montana,Billings,Men's Athletic Footwear,$45.00 ,425,"$191,250 ","$57,375 ",30%,Outlet
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Men's Street Footwear,$35.00 ,375,"$131,250 ","$32,813 ",25%,Outlet
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Men's Athletic Footwear,$45.00 ,375,"$168,750 ","$33,750 ",20%,Outlet
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Women's Street Footwear,$45.00 ,375,"$168,750 ","$42,188 ",25%,Outlet
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Women's Athletic Footwear,$45.00 ,225,"$101,250 ","$25,313 ",25%,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Street Footwear,$35.00 ,375,"$131,250 ","$32,813 ",25%,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Athletic Footwear,$45.00 ,375,"$168,750 ","$33,750 ",20%,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Street Footwear,$45.00 ,375,"$168,750 ","$42,188 ",25%,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Athletic Footwear,$45.00 ,225,"$101,250 ","$25,313 ",25%,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Apparel,$50.00 ,175,"$87,500 ","$13,125 ",15%,Outlet
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Apparel,$45.00 ,425,"$191,250 ","$76,500 ",40%,Outlet
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,$35.00 ,500,"$175,000 ","$70,000 ",40%,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$35.00 ,300,"$105,000 ","$42,000 ",40%,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$25.00 ,300,"$75,000 ","$26,250 ",35%,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,$30.00 ,150,"$45,000 ","$15,750 ",35%,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Apparel,$45.00 ,200,"$90,000 ","$27,000 ",30%,In-store
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Apparel,$35.00 ,300,"$105,000 ","$42,000 ",40%,In-store
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Street Footwear,$35.00 ,475,"$166,250 ","$58,188 ",35%,In-store
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Athletic Footwear,$35.00 ,275,"$96,250 ","$33,688 ",35%,In-store
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Street Footwear,$25.00 ,275,"$68,750 ","$27,500 ",40%,In-store
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Athletic Footwear,$30.00 ,125,"$37,500 ","$15,000 ",40%,In-store
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Apparel,$45.00 ,175,"$78,750 ","$23,625 ",30%,In-store
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Apparel,$35.00 ,275,"$96,250 ","$38,500 ",40%,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Street Footwear,$35.00 ,425,"$148,750 ","$52,063 ",35%,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Athletic Footwear,$35.00 ,225,"$78,750 ","$27,563 ",35%,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Street Footwear,$25.00 ,225,"$56,250 ","$22,500 ",40%,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Athletic Footwear,$30.00 ,75,"$22,500 ","$9,000 ",40%,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Men's Apparel,$45.00 ,125,"$56,250 ","$16,875 ",30%,In-store
Foot Locker,1185732,1/10/21,Northeast,Connecticut,Hartford,Women's Apparel,$35.00 ,225,"$78,750 ","$31,500 ",40%,In-store
West Gear,1128299,1/10/21,West,California,San Francisco,Men's Apparel,$62.00 ,155,"$9,610 ","$6,343 ",66%,Online
Kohl's,1189833,1/10/21,Midwest,Montana,Billings,Men's Athletic Footwear,$41.00 ,115,"$4,715 ","$1,933 ",41%,Online
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Men's Street Footwear,$33.00 ,98,"$3,234 ","$1,132 ",35%,Online
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Men's Athletic Footwear,$41.00 ,109,"$4,469 ","$1,475 ",33%,Online
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Women's Street Footwear,$43.00 ,101,"$4,343 ","$1,737 ",40%,Online
West Gear,1128299,1/10/21,Northeast,Maine,Portland,Women's Athletic Footwear,$43.00 ,59,"$2,537 ",$989 ,39%,Online
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Street Footwear,$33.00 ,109,"$3,597 ","$1,367 ",38%,Online
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Athletic Footwear,$43.00 ,109,"$4,687 ","$1,547 ",33%,Online
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Street Footwear,$41.00 ,113,"$4,633 ","$1,668 ",36%,Online
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Athletic Footwear,$43.00 ,56,"$2,408 ",$843 ,35%,Online
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Men's Apparel,$46.00 ,46,"$2,116 ",$635 ,30%,Online
Foot Locker,1128299,1/10/21,West,Alaska,Anchorage,Women's Apparel,$42.00 ,123,"$5,166 ","$2,790 ",54%,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,$32.00 ,140,"$4,480 ","$2,330 ",52%,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$32.00 ,78,"$2,496 ","$1,273 ",51%,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$24.00 ,87,"$2,088 ",$940 ,45%,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,$28.00 ,44,"$1,232 ",$591 ,48%,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Men's Apparel,$41.00 ,58,"$2,378 ","$1,046 ",44%,Online
West Gear,1185732,1/10/21,Midwest,Wisconsin,Milwaukee,Women's Apparel,$32.00 ,84,"$2,688 ","$1,344 ",50%,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Street Footwear,$32.00 ,138,"$4,416 ","$2,208 ",50%,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Athletic Footwear,$33.00 ,77,"$2,541 ","$1,194 ",47%,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Street Footwear,$24.00 ,72,"$1,728 ",$881 ,51%,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Women's Athletic Footwear,$27.00 ,38,"$1,026 ",$513 ,50%,Online
Kohl's,1185732,1/10/21,Northeast,Delaware,Wilmington,Men's Apparel,$41.00 ,47,"$1,927 ",$771 ,40%,Online
